1976 US Standard Atmosphere, tabulated
Altitude(km)	Pressure(pascals)	 T (deg K	 Rho(kg/M^2)	mu(Nt-sec/M^2) 	 SonicVelocity(m/sec)`	
5.00000000	54019.91133923	255.64999390	0.73611536	0.00001628	320.52950342
5.20000000	52591.68281704	254.34999390	0.72031612	0.00001621	319.71350608
5.40000000	51194.18562443	253.04999390	0.70477763	0.00001615	318.89542076
5.60000000	49826.91130814	251.74999390	0.68949687	0.00001608	318.07523134
5.80000000	48489.35727339	250.44999390	0.67447088	0.00001601	317.25292150
6.00000000	47181.02674616	249.14999390	0.65969669	0.00001595	316.42847471
6.20000000	45901.42873543	247.84999390	0.64517138	0.00001588	315.60187423
6.40000000	44650.07799548	246.54999390	0.63089201	0.00001581	314.77310308
6.60000000	43426.49498834	245.24999390	0.61685569	0.00001575	313.94214409
6.80000000	42230.20584616	243.94999390	0.60305953	0.00001568	313.10897982
7.00000000	41060.74233370	242.64999390	0.58950068	0.00001561	312.27359263
7.20000000	39917.64181087	241.34999390	0.57617629	0.00001554	311.43596462
7.40000000	38800.44719530	240.04999390	0.56308354	0.00001547	310.59607768
7.60000000	37708.70692497	238.74999390	0.55021962	0.00001540	309.75391342
7.80000000	36641.97492092	237.44999390	0.53758174	0.00001534	308.90945322
8.00000000	35599.81054993	236.14999390	0.52516715	0.00001527	308.06267819
8.20000000	34581.77858736	234.84999390	0.51297308	0.00001520	307.21356921
8.40000000	33587.44917996	233.54999390	0.50099681	0.00001513	306.36210685
8.60000000	32616.39780878	232.24999390	0.48923564	0.00001506	305.50827145
8.80000000	31668.20525208	230.94999390	0.47768686	0.00001499	304.65204305
9.00000000	30742.45754836	229.64999390	0.46634781	0.00001492	303.79340141
9.20000000	29838.74595941	228.34999390	0.45521584	0.00001485	302.93232602
9.40000000	28956.66693336	227.04999390	0.44428830	0.00001478	302.06879607
9.60000000	28095.82206791	225.74999390	0.43356259	0.00001471	301.20279044
9.80000000	27255.81807349	224.44999390	0.42303610	0.00001464	300.33428771
10.00000000	26435.99853516	223.14999390	0.41270206	0.00001457	299.46326617
10.20000000	25636.52479233	221.84999390	0.40256641	0.00001450	298.58970376
10.40000000	24856.74216141	220.54999390	0.39262230	0.00001443	297.71357813
10.60000000	24096.27744075	219.24999390	0.38286720	0.00001436	296.83486657
10.80000000	23354.76235828	217.94999390	0.37329863	0.00001429	295.95354605
11.00000000	22632.00073242	216.64999390	0.36391677	0.00001422	295.06959320
11.20000000	21929.37764394	216.64999390	0.35261877	0.00001422	295.06959320
11.40000000	21248.56788121	216.64999390	0.34167152	0.00001422	295.06959320
11.60000000	20588.89423737	216.64999390	0.33106414	0.00001422	295.06959320
11.80000000	19949.70052982	216.64999390	0.32078607	0.00001422	295.06959320
12.00000000	19330.35094750	216.64999390	0.31082709	0.00001422	295.06959320
12.20000000	18730.22941849	216.64999390	0.30117729	0.00001422	295.06959320
12.40000000	18148.73899713	216.64999390	0.29182707	0.00001422	295.06959320
12.60000000	17585.30127031	216.64999390	0.28276714	0.00001422	295.06959320
12.80000000	17039.35578203	216.64999390	0.27398847	0.00001422	295.06959320
13.00000000	16510.35947601	216.64999390	0.26548235	0.00001422	295.06959320
13.20000000	15997.78615542	216.64999390	0.25724030	0.00001422	295.06959320
13.40000000	15501.12595952	216.64999390	0.24925413	0.00001422	295.06959320
13.60000000	15019.88485647	216.64999390	0.24151590	0.00001422	295.06959320
13.80000000	14553.58415194	216.64999390	0.23401790	0.00001422	295.06959320
14.00000000	14101.76001291	216.64999390	0.22675269	0.00001422	295.06959320
14.20000000	13663.96300635	216.64999390	0.21971302	0.00001422	295.06959320
14.40000000	13239.75765208	216.64999390	0.21289191	0.00001422	295.06959320
14.60000000	12828.72198969	216.64999390	0.20628256	0.00001422	295.06959320
14.80000000	12430.44715874	216.64999390	0.19987840	0.00001422	295.06959320
15.00000000	12044.53699211	216.64999390	0.19367307	0.00001422	295.06959320
15.20000000	11670.60762189	216.64999390	0.18766038	0.00001422	295.06959320
15.40000000	11308.28709757	216.64999390	0.18183436	0.00001422	295.06959320
15.60000000	10957.21501605	216.64999390	0.17618921	0.00001422	295.06959320
15.80000000	10617.04216316	216.64999390	0.17071932	0.00001422	295.06959320
16.00000000	10287.43016627	216.64999390	0.16541924	0.00001422	295.06959320
16.20000000	9968.05115769	216.64999390	0.16028371	0.00001422	295.06959320
16.40000000	9658.58744861	216.64999390	0.15530761	0.00001422	295.06959320
16.60000000	9358.73121302	216.64999390	0.15048600	0.00001422	295.06959320
16.80000000	9068.18418154	216.64999390	0.14581408	0.00001422	295.06959320
17.00000000	8786.65734475	216.64999390	0.14128720	0.00001422	295.06959320
17.20000000	8513.87066565	216.64999390	0.13690086	0.00001422	295.06959320
17.40000000	8249.55280119	216.64999390	0.13265069	0.00001422	295.06959320
17.60000000	7993.44083229	216.64999390	0.12853248	0.00001422	295.06959320
17.80000000	7745.28000234	216.64999390	0.12454212	0.00001422	295.06959320
18.00000000	7504.82346380	216.64999390	0.12067564	0.00001422	295.06959320
18.20000000	7271.83203264	216.64999390	0.11692919	0.00001422	295.06959320
18.40000000	7046.07395044	216.64999390	0.11329906	0.00001422	295.06959320
18.60000000	6827.32465385	216.64999390	0.10978163	0.00001422	295.06959320
18.80000000	6615.36655120	216.64999390	0.10637340	0.00001422	295.06959320
19.00000000	6409.98880609	216.64999390	0.10307098	0.00001422	295.06959320
19.20000000	6210.98712766	216.64999390	0.09987108	0.00001422	295.06959320
19.40000000	6018.16356735	216.64999390	0.09677053	0.00001422	295.06959320
19.60000000	5831.32632204	216.64999390	0.09376623	0.00001422	295.06959320
19.80000000	5650.28954324	216.64999390	0.09085521	0.00001422	295.06959320
20.00000000	5474.80010986	216.64999390	0.08803338	0.00001422	295.06959320
20.20000000	5304.90906159	216.84999390	0.08522290	0.00001423	295.20575823
20.40000000	5140.43936127	217.04999390	0.08250462	0.00001424	295.34186048
20.60000000	4981.21325153	217.24999390	0.07987542	0.00001425	295.47790004
20.80000000	4827.05895914	217.44999390	0.07733231	0.00001426	295.61387699
21.00000000	4677.81048825	217.64999390	0.07487240	0.00001427	295.74979143
21.20000000	4533.30742110	217.84999390	0.07249289	0.00001428	295.88564343
21.40000000	4393.39472567	218.04999390	0.07019108	0.00001429	296.02143309
21.60000000	4257.92257018	218.24999390	0.06796437	0.00001430	296.15716049
21.80000000	4126.74614409	218.44999390	0.06581025	0.00001431	296.29282572
22.00000000	3999.72548551	218.64999390	0.06372627	0.00001433	296.42842885
22.20000000	3876.72531461	218.84999390	0.06171011	0.00001434	296.56396998
22.40000000	3757.61487290	219.04999390	0.05975948	0.00001435	296.69944919
22.60000000	3642.26776824	219.24999390	0.05787221	0.00001436	296.83486657
22.80000000	3530.56182520	219.44999390	0.05604618	0.00001437	296.97022220
23.00000000	3422.37894077	219.64999390	0.05427936	0.00001438	297.10551616
23.20000000	3317.60494505	219.84999390	0.05256976	0.00001439	297.24074854
23.40000000	3216.12946688	220.04999390	0.05091549	0.00001440	297.37591942
23.60000000	3117.84580417	220.24999390	0.04931472	0.00001441	297.51102889
23.80000000	3022.65079875	220.44999390	0.04776565	0.00001442	297.64607703
24.00000000	2930.44471560	220.64999390	0.04626658	0.00001444	297.78106393
24.20000000	2841.13112632	220.84999390	0.04481586	0.00001445	297.91598966
24.40000000	2754.61679665	221.04999390	0.04341187	0.00001446	298.05085431
24.60000000	2670.81157790	221.24999390	0.04205308	0.00001447	298.18565796
24.80000000	2589.62830219	221.44999390	0.04073799	0.00001448	298.32040070
25.00000000	2510.98268133	221.64999390	0.03946515	0.00001449	298.45508261
25.20000000	2434.79320923	221.84999390	0.03823318	0.00001450	298.58970376
25.40000000	2360.98106762	222.04999390	0.03704073	0.00001451	298.72426425
25.60000000	2289.47003520	222.24999390	0.03588649	0.00001452	298.85876416
25.80000000	2220.18639978	222.44999390	0.03476921	0.00001453	298.99320356
26.00000000	2153.05887355	222.64999390	0.03368767	0.00001454	299.12758254
26.20000000	2088.01851129	222.84999390	0.03264070	0.00001455	299.26190118
26.40000000	2024.99863138	223.04999390	0.03162717	0.00001457	299.39615955
26.60000000	1963.93473955	223.24999390	0.03064597	0.00001458	299.53035775
26.80000000	1904.76445523	223.44999390	0.02969605	0.00001459	299.66449585
27.00000000	1847.42744054	223.64999390	0.02877639	0.00001460	299.79857394
27.20000000	1791.86533161	223.84999390	0.02788599	0.00001461	299.93259209
