1976 US Standard Atmosphere, tabulated
Altitude (km)	Pressure (Pa)	T (deg. C)         	Rho (kg/M^2)	mu (cP) 	SonicVel (m/s)	
73.00000000	0.00286917	-62.50000610	0.00004745	13.88439736	290.95750712
74.00000000	0.00243774	-64.50000610	0.00004070	13.77293024	289.57297623
75.00000000	0.00206793	-66.50000610	0.00003486	13.66101191	288.18179362
76.00000000	0.00175142	-68.50000610	0.00002981	13.54863841	286.78386250
77.00000000	0.00148093	-70.50000610	0.00002546	13.43580576	285.37908368
78.00000000	0.00125014	-72.50000610	0.00002170	13.32250995	283.96735555
79.00000000	0.00105353	-74.50000610	0.00001848	13.20874691	282.54857393
80.00000000	0.00088627	-76.50000610	0.00001570	13.09451257	281.12263203
81.00000000	0.00074427	-78.50000610	0.00001332	12.97980282	279.68942035
82.00000000	0.00062390	-80.50000610	0.00001128	12.86461352	278.24882654
83.00000000	0.00052204	-82.50000610	0.00000954	12.74894052	276.80073533
84.00000000	0.00043598	-84.50000610	0.00000805	12.63277960	275.34502845
85.00000000	0.00036349	-85.57090610	0.00000675	12.57037921	274.56239751
86.00000000	0.00030295	-85.71270611	0.00000563	12.56210604	274.45860047
